time,minor,rssi
45581,103,-86
45582,101,-96
45582,106,-93
45582,105,-82
45582,103,-89
45582,107,-99
45583,106,-92
45583,105,-85
45583,103,-92
45583,107,-97
45584,105,-91
45584,103,-84
45584,107,-95
45585,104,-92
45585,103,-89
45589,103,-84
45590,105,-86
45590,103,-82
45591,105,-88
45591,103,-86
45592,101,-99
45592,105,-78
45593,105,-84
45593,103,-85
